match_id,team_1_win_flag
501,0
502,0
503,0
504,0
505,1
506,1
507,1
508,1
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,1
520,0
521,1
522,1
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,1
531,0
532,0
533,1
534,0
535,0
536,0
537,1
538,0
539,0
540,0
541,1
542,1
543,0
544,0
545,1
546,0
547,1
548,0
549,1
550,0
551,0
552,0
553,0
554,1
555,1
556,0
557,0
558,0
559,1
560,0
561,1
562,0
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,0
571,0
572,1
573,1
574,0
575,0
576,0
577,1
578,0
579,1
580,0
581,0
582,0
583,0
584,1
585,1
586,0
587,1
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,1
596,0
597,0
598,1
599,0
600,0
601,1
602,0
603,1
604,0
605,0
606,0
607,0
608,0
609,1
610,0
611,0
612,0
613,1
614,1
615,0
616,1
617,0
618,1
619,0
620,1
621,0
622,1
623,0
624,1
625,0
626,0
627,0
628,0
629,1
630,1
631,0
632,0
633,0
634,0
635,0
636,0
